BEST_POSITION,FOOT,ATTACKING_WORK_RATE,DEFENSIVE_WORK_RATE,AGE,OVERALL,VALUE,POTENTIAL,HEIGHT,WEIGHT,SKILL_MOVES,WEEK_FOOT_ABILITY
DEFENSIVE,Left,Medium,High,33,69,625000.0,69,6.0,181,2.0,3.0
MIDFIELD,Right,Medium,Medium,37,71,600000.0,71,5.1,143,3.0,4.0
MIDFIELD,Right,Medium,Low,33,71,1100000.0,71,5.9,161,4.0,4.0
FORWARD,Right,Unknown,Unknown,36,68,0.0,82,5.11,165,1.0,3.0
MIDFIELD,Right,High,Medium,36,81,5437500.0,81,5.7,150,4.0,4.0
FORWARD,Right,Medium,Medium,27,66,725000.0,70,5.8,163,3.0,2.0
MIDFIELD,Left,Medium,Medium,38,77,2800000.0,77,5.7,159,4.0,4.0
MIDFIELD,Left,Medium,Medium,39,78,1000.0,78,5.1,157,3.0,2.0
DEFENSIVE,Right,Unknown,Unknown,35,76,0.0,82,5.1,174,2.0,3.0
MIDFIELD,Right,Medium,Medium,37,80,400000.0,80,5.7,157,3.0,3.0
DEFENSIVE,Right,Medium,High,35,74,120000.0,74,5.11,168,2.0,4.0
MIDFIELD,Right,Medium,Medium,37,78,0.0,78,6.0,165,2.0,3.0
FORWARD,Right,High,Low,35,80,5437500.0,80,5.9,161,3.0,4.0
DEFENSIVE,Right,Unknown,Unknown,35,75,0.0,79,6.2,190,2.0,3.0
GOAL KEEPER,Right,Unknown,Unknown,38,87,0.0,90,6.2,198,1.0,1.0
DEFENSIVE,Right,Unknown,Unknown,36,61,0.0,82,6.2,168,2.0,3.0
FORWARD,Right,Unknown,Unknown,33,73,0.0,90,5.8,154,1.0,3.0
FORWARD,Right,Unknown,Unknown,26,66,0.0,72,6.4,198,2.0,3.0
GOAL KEEPER,Right,Medium,Medium,42,73,500000.0,73,6.4,209,1.0,3.0
GOAL KEEPER,Right,Unknown,Unknown,39,79,0.0,87,6.3,192,1.0,3.0
GOAL KEEPER,Right,Medium,Medium,39,69,0.0,69,6.4,201,1.0,2.0
MIDFIELD,Left,Medium,High,38,79,0.0,79,5.6,154,3.0,2.0
MIDFIELD,Right,Medium,High,39,75,1000.0,75,5.1,165,2.0,4.0
MIDFIELD,Right,Low,Low,38,70,190000.0,70,5.9,163,4.0,5.0
DEFENSIVE,Right,Medium,High,37,73,0.0,73,6.2,174,2.0,3.0
DEFENSIVE,Right,Unknown,Unknown,40,77,0.0,89,6.1,187,1.0,4.0
GOAL KEEPER,Right,Medium,Medium,42,82,2200000.0,82,6.4,203,1.0,2.0
DEFENSIVE,Right,Unknown,Unknown,35,82,0.0,89,5.9,165,1.0,3.0
DEFENSIVE,Right,Unknown,Unknown,37,82,0.0,84,6.0,185,1.0,3.0
FORWARD,Right,Medium,Low,37,73,350000.0,73,5.11,163,2.0,3.0
GOAL KEEPER,Right,Medium,Medium,37,75,1300000.0,75,6.3,203,1.0,2.0
FORWARD,Right,Unknown,Unknown,35,61,0.0,68,5.11,168,1.0,3.0
MIDFIELD,Right,Medium,Medium,39,80,1500000.0,80,5.11,181,3.0,5.0
MIDFIELD,Right,Medium,Medium,37,82,2200000.0,82,5.1,176,4.0,4.0
MIDFIELD,Right,Unknown,Unknown,34,76,0.0,87,6.4,181,2.0,3.0
DEFENSIVE,Right,Unknown,Unknown,35,83,0.0,87,6.1,174,1.0,3.0
MIDFIELD,Right,Medium,Medium,36,79,0.0,79,6.2,183,4.0,4.0
MIDFIELD,Right,Unknown,Unknown,37,74,0.0,81,5.9,154,3.0,3.0
GOAL KEEPER,Right,Unknown,Unknown,37,75,0.0,83,5.11,176,1.0,3.0
FORWARD,Right,Unknown,Unknown,34,75,0.0,83,5.9,163,1.0,4.0
MIDFIELD,Right,Medium,Medium,34,69,275000.0,69,5.9,152,3.0,3.0
GOAL KEEPER,Right,Medium,Medium,37,72,325000.0,72,6.6,203,1.0,4.0
DEFENSIVE,Right,Unknown,Unknown,29,79,0.0,82,5.11,163,1.0,3.0
GOAL KEEPER,Left,Medium,Medium,36,75,900000.0,75,6.3,198,1.0,1.0
FORWARD,Right,Low,Low,37,66,80000.0,66,6.1,205,2.0,4.0
DEFENSIVE,Left,Medium,Medium,33,76,3000000.0,76,5.9,181,3.0,3.0
GOAL KEEPER,Right,Medium,Medium,40,73,500000.0,73,6.1,185,1.0,3.0
FORWARD,Left,High,Low,41,58,0.0,58,5.11,168,2.0,3.0
DEFENSIVE,Right,Medium,Medium,36,63,35000.0,63,6.0,165,3.0,3.0
MIDFIELD,Right,Medium,Medium,32,76,2200000.0,76,5.11,170,3.0,3.0
MIDFIELD,Right,Medium,Medium,36,72,975000.0,72,6.2,172,3.0,3.0
MIDFIELD,Right,Medium,Low,34,68,425000.0,68,5.5,141,3.0,3.0
FORWARD,Right,High,Medium,37,71,850000.0,71,6.1,172,3.0,4.0
DEFENSIVE,Right,Low,Medium,37,66,45000.0,66,6.3,185,2.0,3.0
DEFENSIVE,Right,Medium,Medium,38,79,0.0,79,6.0,174,2.0,3.0
MIDFIELD,Right,Medium,High,34,80,3200000.0,80,6.2,194,3.0,4.0
GOAL KEEPER,Left,Medium,Medium,39,75,0.0,75,6.5,187,1.0,2.0
FORWARD,Right,Unknown,Unknown,34,80,0.0,88,5.1,179,1.0,4.0
MIDFIELD,Right,Medium,Medium,33,74,1200000.0,74,5.7,141,4.0,5.0
DEFENSIVE,Right,Low,High,34,63,50000.0,63,5.1,170,2.0,3.0
MIDFIELD,Right,Medium,High,34,78,825000.0,78,5.1,170,2.0,3.0
MIDFIELD,Right,Unknown,Unknown,33,76,0.0,80,5.1,157,1.0,4.0
FORWARD,Right,Unknown,Unknown,37,83,0.0,88,5.9,165,1.0,3.0
MIDFIELD,Right,Medium,Medium,35,71,130000.0,71,6.0,168,3.0,3.0
DEFENSIVE,Right,Medium,Medium,31,63,120000.0,63,5.11,170,2.0,3.0
FORWARD,Right,Medium,Medium,32,74,1800000.0,74,5.8,154,3.0,4.0
FORWARD,Right,Medium,Low,32,71,850000.0,71,6.3,176,3.0,3.0
DEFENSIVE,Right,Low,High,34,77,825000.0,77,6.1,183,2.0,3.0
MIDFIELD,Right,Medium,Medium,38,78,575000.0,78,6.0,196,3.0,4.0
GOAL KEEPER,Left,Medium,Medium,38,79,1300000.0,79,6.1,185,1.0,2.0
FORWARD,Right,Unknown,Unknown,35,78,0.0,86,5.11,165,1.0,4.0
MIDFIELD,Left,Medium,High,39,64,1000.0,64,5.7,150,3.0,3.0
